timestamp,pitch,posture,score
1671576515.27738,-72.5751,1,3
1671576520.279393,-37.4716,0,1
1671576525.279841,-80.3229,1,1
1671576530.280505,-72.8575,1,1
1671576535.284361,-84.7042,1,1
1671576540.285906,-31.9732,0,1
1671576545.286558,-21.8924,0,1
1671576550.287566,-40.0167,0,1
1671576555.289711,-75.4134,1,4
1671576560.291766,-37.0397,0,4
1671576565.294217,-71.1185,1,3
1671576570.295938,-82.1802,1,4
1671576575.299514,-76.1623,1,4
1671576580.302627,-41.9443,0,1
1671576585.30447,-51.3276,0,2
1671576590.306452,-35.4041,0,1
1671576595.308336,-32.218,0,1
1671576600.310504,-43.1807,0,1
1671576605.312551,-80.609,1,4
1671576610.315297,-76.5547,1,4
1671576615.316991,-64.0817,0,2
1671576620.320594,-25.6082,0,1
1671576625.321034,-70.949,1,3
1671576630.322434,-59.5965,0,2
1671576635.324923,-35.6671,0,1
1671576640.326852,-62.8184,0,2
1671576645.328799,-52.7112,0,2
1671576650.330811,-47.4435,0,2
1671576655.330892,-30.5389,0,1
1671576660.333433,-37.5467,0,1
1671576665.340496,-40.4081,0,1
1671576670.342978,-29.2697,0,1
1671576675.34518,-38.3337,0,1
1671576680.345792,-82.8881,1,4
1671576685.347668,-72.9643,1,3
1671576690.349571,-62.7209,0,2
1671576695.350377,-66.1891,1,3
1671576700.352188,-74.7394,1,3
1671576705.352859,-64.7979,0,2
1671576710.355573,-73.3792,1,3
1671576715.355972,-38.1951,0,1
1671576720.356247,-60.5802,0,2
1671576725.359204,-81.2207,1,4
1671576730.361971,-50.6967,0,2
1671576735.364027,-71.6191,1,3
1671576740.367792,-33.8811,0,4
1671576745.369749,-61.9051,0,2
1671576750.372329,-53.9136,0,4
1671576755.372794,-51.7962,0,2
1671576760.37318,-53.8667,0,2
1671576765.373648,-64.9532,0,2
1671576770.375634,-34.2897,0,1
1671576775.377109,-33.9397,0,3
1671576780.377724,-38.2314,0,3
1671576785.377733,-33.2038,0,1
1671576786.038729,-37.04,0,1
1671580714.078834,-48.1662,0,2
1671580719.081303,-42.2888,0,1
1671580724.081462,-20.7363,0,4
1671580729.082065,-68.1281,1,3
1671580734.083158,-22.4511,0,1
1671580739.08438,-31.5828,0,1
1671580744.084659,-63.6548,0,2
1671580749.086782,-58.7112,0,2
1671580754.087671,-78.3466,1,4
1671580759.089681,-64.4275,0,2
1671580764.091649,-65.1281,1,3
1671580769.093599,-70.0875,1,3
1671580774.096291,-57.0214,0,2
1671580779.096294,-62.9052,0,2
1671580784.096343,-37.3448,0,3
1671580789.097065,-48.7945,0,2
1671580794.100256,-77.6241,1,4
1671580799.179313,-81.5617,1,4
1671580804.179547,-70.9473,1,3
1671580809.193087,-42.7761,0,1
1671580814.197675,-63.8607,0,2
1671580819.200031,-59.7111,0,2
1671580824.204703,-37.068,0,1
1671580829.206238,-77.2009,1,4
1671580834.206856,-33.9101,0,1
1671580839.209849,-43.9319,0,1
1671580844.211355,-24.6134,0,1
1671580849.212389,-81.9228,1,4
1671580854.218368,-29.5006,0,1
1671580859.223446,-32.2218,0,4
1671580869.226844,-40.038,0,4
1671580874.230727,-62.5746,0,2
1671580879.232856,-31.3299,0,1
1671580884.235264,-55.714,0,2
1671580889.235401,-33.6817,0,4
1671580894.23801,-21.331,0,1
1671580899.238685,-33.854,0,1
1671580904.239725,-49.4375,0,2
1671580909.240129,-32.7903,0,1
1671580914.242138,-75.2895,1,4
1671580919.24264,-82.0937,1,4
1671580924.245467,-30.9895,0,1
1671580929.246815,-44.1296,0,3
1671580934.249639,-78.619,1,4
1671580939.251444,-22.1322,0,1
1671580944.251799,-70.7978,1,3
1671580949.253937,-67.4645,1,3
1671580954.256387,-45.5655,0,2
1671580959.261404,-78.3527,1,4
1671580964.261992,-81.7888,1,4
1671580969.263199,-42.3743,0,1
1671580974.263251,-61.3849,0,2
1671580979.263384,-24.5213,0,1
1671580984.266531,-37.2589,0,1
1671580989.268621,-59.9307,0,2
1671580994.27108,-21.5484,0,1
1671580999.272213,-52.2129,0,2
1671581004.274764,-34.3638,0,1
1671581009.280391,-27.9961,0,1
1671581014.315453,-22.3445,0,1
1671581019.316479,-29.2395,0,1
1671581024.317051,-62.0363,0,2
1671581029.319765,-71.2966,1,3
1671581034.31978,-39.1215,1,1
1671581039.322633,-21.3834,0,1
1671581044.324441,-26.4888,0,1
1671581049.325925,-39.223,1,1
1671581054.325964,-51.9077,0,2
1671581059.328631,-51.267,1,2
1671581064.331087,-78.2038,1,4
1671581069.331482,-52.4656,0,2
1671581074.331853,-41.7636,0,1
1671581079.332933,-34.9497,0,1
1671581084.334102,-50.6581,0,2
1671581089.336626,-63.6966,0,2
1671581094.338742,-53.3566,0,2
1671581099.339897,-28.7914,0,1
1671581104.34099,-35.4149,0,1
1671581109.342211,-38.6812,0,1
1671581114.403347,-36.6483,0,1
1671581119.413345,-49.2217,0,2
1671581124.413831,-64.4662,0,2
1671581729.581756,-67.6295,1,3
1671581734.583823,-27.3246,0,1
1671581739.584796,-48.2834,0,2
1671581744.585769,-36.4865,0,1
1671581749.586783,-45.0498,0,2
1671581754.586872,-25.6132,0,1
1671581759.588163,-80.8659,1,4
1671581764.588734,-48.4044,0,2
1671581769.588839,-36.2877,0,1
1671581774.589364,-74.2024,1,3
1671581779.589477,-35.9831,0,1
1671581784.591112,-28.3409,0,1
